flow,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,avgPacketSize,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,label
10.0.2.15:51163<->192.168.0.1:53,0,0,1649082495.848406,0,1649082495.848406,1649082495.848406,0.0,0.0,0.0,0.0,0.003167,1,1,89,105,89,105,89,105,89.0,105.0,0.0,0.0,97.0,315.7562361856646668771708241,315.7562361856646668771708241,631.5124723713293337543416482,61256.70982001894537417113988,Kali_Chrome
10.0.2.15:37349<->192.168.0.1:53,0,0,1649082495.851178,0,1649082495.851178,1649082495.851178,0.0,0.0,0.0,0.0,0.007709,1,1,79,95,79,95,79,95,79.0,95.0,0.0,0.0,87.0,129.7185108314956544298871449,129.7185108314956544298871449,259.4370216629913088597742898,22571.02088468024387080036321,Kali_Chrome
10.0.2.15:60138<->74.125.131.94:443,46.615489,46.591534,0.000015,0.000161,46.515230,46.515230,4.237771727272727,4.6591534,14.021851425560023,14.706700097837887,46.615823,12,11,1726,6291,54,60,571,2974,143.83333333333334,571.9090909090909,160.99567093746978,980.4448433793157,348.5652173913044,0.2574233216905770386162655543,0.2359713782163622853982434248,0.4933946999069393240145089791,171.9802308327796765488834124,Kali_Chrome
10.0.2.15:46728<->173.194.222.84:443,46.608430,46.587977,0.000108,0.000000,46.513298,46.513298,3.3291735714285715,3.5836905384615387,12.429250239386244,12.89875895236855,46.608809,15,14,2090,8020,54,60,571,2974,139.33333333333334,572.8571428571429,169.35451686020178,920.3903734614131,348.62068965517244,0.3218275755555135510971756433,0.3003724038518126476906972671,0.6221999794073261987878729105,216.9117859244161334394963836,Kali_Chrome
10.0.2.15:49245<->239.255.255.250:49245,3.005867,0,1.000164,0,1.005063,1.005063,1.0019556666666667,0.0,0.002701533700203152,0.0,3.005867,4,0,856,0,214,0,214,0,214.0,0.0,0.0,0.0,214.0,1.330730867333784229308881597,0E+6,1.330730867333784229308881597,284.7764056094298250721006618,Kali_Chrome
10.0.2.15:33652<->192.168.0.1:53,0,0,1649082496.268444,0,1649082496.268444,1649082496.268444,0.0,0.0,0.0,0.0,0.004703,1,1,74,170,74,170,74,170,74.0,170.0,0.0,0.0,122.0,212.6302360195619817137997023,212.6302360195619817137997023,425.2604720391239634275994046,51881.77758877312353816712737,Kali_Chrome
10.0.2.15:35174<->64.233.164.105:443,9.241578,9.221134,0.000031,0.000000,6.654179,6.654179,0.064177625,0.04904858510638298,0.5562738256140953,0.4872081455151466,9.241958,145,189,24565,725418,54,60,1670,23948,169.41379310344828,3838.190476190476,318.9018393514882,4963.229148502727,2245.4580838323354,15.68931605185827505383599449,20.45021195724975162189657213,36.13952800910802667573256663,81149.79531393672206690400454,Kali_Chrome
10.0.2.15:43715<->192.168.0.1:53,0,0,1649082497.763635,0,1649082497.763635,1649082497.763635,0.0,0.0,0.0,0.0,0.094418,1,1,79,258,79,258,79,258,79.0,258.0,0.0,0.0,168.5,10.59120083035014509945137580,10.59120083035014509945137580,21.18240166070029019890275159,3569.234679827998898515113644,Kali_Chrome
10.0.2.15:58010<->51.159.103.157:443,5.065504,5.012848,0.000001,0.000000,0.356914,0.356914,0.0034671485284052017,0.002036915075172694,0.016464690397872267,0.012703191850697619,5.065504,1462,2462,83077,25895231,54,60,1719,64294,56.82421340629275,10517.965475223396,57.311867168207314,14109.156486476442,6620.363914373089,288.6188620125460368800419465,486.0325843193490716817122245,774.6514463318951085617541710,5128474.481512599733412509397,Kali_Chrome
10.0.2.15:58012<->51.159.103.157:443,0.169955,0.115969,0.000162,0.000176,0.057643,0.057643,0.024279285714285715,0.019328166666666667,0.028630403610580866,0.02771270993906346,0.169955,8,7,1033,5197,54,60,571,2974,129.125,742.4285714285714,179.93446227525652,1191.94740615835,415.3333333333333,47.07128357506398752610985261,41.18737312818098908534612103,88.25865670324497661145597364,36656.76208408108028595804772,Kali_Chrome
